Title,Description,Links,Publication Date
Дешевеющая еда остается дорогой // ФАО фиксирует полугодовой период снижения цен на продовольствие,"Мировые цены на продовольствие после мартовского скачка до исторического максимума снизились в сентябре шестой месяц подряд — но при этом остаются выше прошлогодних уровней, сообщила вчера Продовольственная и сельскохозяйственная организация ООН (ФАО). Локальное снижение общего индекса ФАО не снимает ни проблемы влияния случившегося всплеска цен на инфляцию в мире, ни вопроса нехватки продовольствия во многих странах. Поддерживать высокие цены на еду будет ее дефицит — по прогнозу экспертов, в ближайшее десятилетие темпы потребления продовольствия будут расти быстрее темпов его производства.",https://www.kommersant.ru/doc/5605735,"Sat, 08 Oct 2022 00:55:00 +0300"
Число безработных в России снизилось на 25 тыс. за две недели,"Вице-премьер России Татьяна Голикова сообщила, что численность зарегистрированных безработных в стране снизилась  за две недели на 25 тыс., до 612,4 тыс. Уровень регистрируемой безработицы уменьшился на 0,8%. По словам госпожи Голиковой, которые приводит «РИА Новости», с 19 сентября по 3 октября число работников в простое сократилось на 4,6 тыс., составив 89,8 тыс. человек. Количество работающих в режиме неполного рабочего дня или рабочей недели за тот же период времени уменьшилось на 4,2 тыс., до 114,9 тыс. человек. Также вице-премьер отметила, что на государственном портале «Работа в России» предлагается более 2,4 млн вакансий. По ее словам, эта цифра превышает количество безработных почти в четыре раза. Как сообщали «Ъ» эксперты в сентябре, уровень зарегистрированной безработицы в России остается рекордно низким, однако ситуация может измениться в октябре-декабре, если иностранные компании продолжат уходить из России. По данным Минэкономразвития, уровень безработицы в конце 2022 года составит 4,5%…",https://www.kommersant.ru/doc/5605704,"Fri, 07 Oct 2022 20:58:00 +0300"
Росстат после трех месяцев дефляции зафиксировал месячную инфляцию в сентябре // Инфографика,"Годовая инфляция в России в сентябре замедлилась до 13,68% по сравнению с 14,3% в августе, сообщил Росстат. Месячная инфляция составила 0,05% против дефляции в 0,52% месяцем ранее. Росстат фиксировал месячную дефляцию все три летних месяца.Значительное влияние на динамику цен на продовольственные товары в сентябре оказало удешевление большей части плодоовощной продукции. Из непродовольственных товаров значительно подорожало газовое моторное топливо. Среди услуг существенно увеличились цены на зарубежные турпоездки и полисы ОСАГО.",https://www.kommersant.ru/doc/5605673,"Fri, 07 Oct 2022 19:39:00 +0300"
"Безработица в США упала до 3,5%","По данным американского Федерального бюро статистики Министерства труда, уровень безработицы в США в сентябре вновь упал до 3,5%. На таком же уровне безработица в США была в июле, а в августе она поднималась до 3,7%. Общее число безработных в стране в сентябре составило 5,8 млн человек.Как следует из доклада Минтруда США, в прошлом месяце было создано 263 тыс. новых рабочих мест. Это третий месяц подряд снижения этого показателя, но он совпадает с прогнозами экономистов. Особенно активно нанимали работников в досуговом и гостиничном секторе — 83 тыс., что в целом соответствует ежемесячному уровню с начала года. Однако уровень занятости в этом секторе пока значительно ниже, чем было до пандемии, разница составляет 1,1 млн рабочих мест. Число рабочих мест в сфере здравоохранения в сентябре выросло на 60 тыс., достигнув допандемического уровня. Средняя почасовая оплата труда выросла на 0,3%, до $32,46. В целом за последние 12 месяцев рост этого показателя составил 5%.Комментируя данные Минтруда США, старший…",https://www.kommersant.ru/doc/5605668,"Fri, 07 Oct 2022 19:29:00 +0300"
"В России в сентябре зафиксировали инфляцию 0,05%","В сентябре 2022 индекс потребительских цен составил 100,05% по сравнению с августом, следует из данных Росстата. Таким образом, в стране после трех месяцев дефляции зафиксирована инфляция. Как сообщило (.pdf) Минэкономики,  в годовом выражении инфляция продолжила замедляться и составила 13,68%. По данным Росстата, в сентябре более всего выросли цены на газовое моторное топливо (+4,3%). Цены на дизельное топливо выросли на 0,5%, на бензин — на 0,1%.Среди продовольственных товаров наблюдается снижение цен на сахар — на 4%, гречку — 3,7%, пшено — 2,3%, горох и фасоль — 1,4%, мясо кур — 1,4%. Выросли цены на куриные яйца — на 3%. На 0,5–1,7% подорожали рыба, молоко, йогурт, сыры плавленые, консервы, детское питание, булочные изделия, зефир, пастила, торты, вода. Медикаменты подорожали в среднем на 0,3%. Среди лекарственных препаратов выросли цены на ацетилцистеин — на 2,0%, дротаверин — на 1,7%, глицин — на 1,3%, ацетилсалициловая кислота — на 1,2%, ксарелто, аскорбиновая кислота — на 0,9%,Среди услуг…",https://www.kommersant.ru/doc/5605666,"Fri, 07 Oct 2022 19:09:00 +0300"
Путин подписал законы о кредитных каникулах и трудовых гарантиях для мобилизованных,"Президент России Владимир Путин подписал ряд законов, которые касаются мобилизованных. Закон о трудовых гарантиях предусматривает приостановку трудового договора мобилизованного, в результате чего за ним сохраняется рабочее место. Второй закон освобождает мобилизованных и членов их семей от уплаты пеней ЖКХ. Третий предоставляет каникулы по потребительским и ипотечным кредитам мобилизованным и членам их семей.Заявление о кредитных каникулах можно подать у кредитора не позднее 31 декабря 2023 года. Их срок определяет заемщик. Он не должен превышать срока военной службы мобилизованного (или срока участия в военной операции для войск нацгвардии) плюс 30 дней. Крайняя дата начала льготного периода — 21 сентября 2022 года.Для поддержки мобилизованных с 28 сентября судебные приставы временно приостановили взыскание с них задолженностей. Частичная мобилизация в России была объявлена 21 сентября. По словам министра обороны Сергея Шойгу, в ее рамках были призваны более 200 тыс. граждан.Подробнее о том, что…",https://www.kommersant.ru/doc/5596255,"Fri, 07 Oct 2022 11:48:00 +0300"
Skillbox: только 5% россиян довольны текущим местом работы,"Из-за недостатка компетенций и «предшествовавшего выгорания» 47% и 15% россиян соответственно не желают сменить место работы, говорится в совместном исследовании платформы Skillbox и психотерапевтического сервиса «Мета» (есть у «Ъ»). Устраивает актуальное место работы лишь 5% опрошенных — менять его в ближайшие пять лет они не планируют. «Оставшееся число респондентов планирует сменить компанию, чтобы уйти в смежную отрасль и развиваться там (38%), перейти на другую должность (33%), кардинально сменить профессию (12%), начать свой бизнес (12%)»,— говорится в тексте исследования. 13% опрошенных не видят в компаниях, где они работают, перспектив для развития.43% респондентов отметили, что стремятся сменить место работы для самореализации и личного роста. Около 45% участников опроса (всего были опрошены 24 тыс. человек) скорее недовольны своим личностным развитием, 15% — полностью не удовлетворены.В январе сервис «Работа.ру» провел исследование, результаты которого показали, что в 2022 году сменить работу…",https://www.kommersant.ru/doc/5596166,"Fri, 07 Oct 2022 11:02:00 +0300"
Импортозамещению не хватает компетенции // Эксперты оценили инновационные возможности отраслей с высокой долей импорта,"Самый большой инновационный потенциал среди отраслей с высокой долей импорта товаров и технологий — у производителей компьютеров, электроники и оптических изделий, а также машин и оборудования. К такому выводу пришли эксперты Института статистических исследований и экономики знаний (ИСИЭЗ) ВШЭ. При этом, по данным проведенного РСПП опроса промышленников, критическую необходимость в импортозамещении бизнес испытывает как раз по части закупок комплектующих и оборудования. Более всего, по их мнению, выстроить необходимые для замещения импорта собственные интегрированные с наукой производства мешает недостаток компетенций и научно-технической базы.",https://www.kommersant.ru/doc/5595984,"Fri, 07 Oct 2022 01:02:00 +0300"
"Европейские станки остались лидерами в предпочтениях, но не в планах // Мониторинг капвложений","Институт Гайдара (ИЭП) опубликовал результаты оценки планов российских промышленников (что будут приобретать) и их предпочтений (что хотели бы купить) по части обновления оборудования. За пошедший год намерения производителей заметно изменились. Если в сентябре 2021 года станки и машины производства стран Западной Европы планировали приобрести 55% респондентов (первое место), то в 2022 году — лишь 11% (третье).Продукция из Китая, Индии и других азиатских стран за год поднялась с третьего на второе место в планируемых закупках — число респондентов, намеренных ее приобрести, выросло с 42% до 59%. «Производители машин и оборудования из азиатского региона стали основными бенефициарами санкционной политики наших западных спарринг-партнеров. За год они смогли нарастить свою долю в инвестпланах промышленности на 17 процентных пунктов (п. п.). Такого успеха наши опросы еще не регистрировали»,— отмечают в ИЭП. Интерес к российским станкам и оборудованию вырос меньше — за год на 9 п. п., с 53% до 62%. Отметим, что в…",https://www.kommersant.ru/doc/5595983,"Fri, 07 Oct 2022 01:02:00 +0300"
Обоснуй и инвестируй // Минэкономики ужесточает отбор проектов для ФАИП,"Минэкономики предлагает вновь скорректировать подход к оценке эффективности бюджетных инвестиций в строительство и реконструкцию. Для включения госстроек в Федеральную адресную инвестиционную программу (ФАИП) ведомство хочет детально оценивать инициативы коллег по правительству по десяти критериям, включая экономический эффект, потребность в прямом государственном участии и влияние на достижение национальных целей. Предыдущая методика оценки оказалась неэффективной и допускала финансирование почти всех предлагаемых министерствами строек. Теперь власти рассчитывают отказаться от ненужных объектов и не допустить начала новых незавершенных строек. В условиях бюджетного дефицита это позволит сконцентрировать расходы на выполнении социальных обязательств и на экономически перспективных проектах.",https://www.kommersant.ru/doc/5595945,"Fri, 07 Oct 2022 01:02:00 +0300"
